DT,W10o,Wdo,T2o
2016-12-31 04:00:00,11.1,338.1,14.5
2016-12-31 05:00:00,14.1,10.5,13.9
2016-12-31 06:00:00,10.2,316.9,13.7
2016-12-31 07:00:00,12.2,312,13.6
2016-12-31 08:00:00,8.4,309.9,13.7
2016-12-31 09:00:00,8.5,346.9,13.8
2016-12-31 10:00:00,6.6,340.5,13.4
2016-12-31 11:00:00,7.3,337.6,13.7
2016-12-31 12:00:00,6.6,327.7,14.3
2016-12-31 13:00:00,8.8,334.9,14.2
2016-12-31 14:00:00,8.6,340,15
2016-12-31 15:00:00,12.9,11.7,16.9
2016-12-31 16:00:00,10.4,326.3,19.4
2016-12-31 17:00:00,11.2,357.4,19.6
2016-12-31 18:00:00,11.5,11.8,19.2
2016-12-31 19:00:00,12.4,2.7,18.1
2016-12-31 20:00:00,10.1,329.7,16.8
2016-12-31 21:00:00,11.1,331.5,16.3
2016-12-31 22:00:00,8.8,351.5,16.4
2016-12-31 23:00:00,9.3,332.9,16.1
2017-01-01 00:00:00,10.6,333.3,15.2
2017-01-01 01:00:00,7.9,337.1,15.2
2017-01-01 02:00:00,10.1,329.4,15.3
2017-01-01 03:00:00,6.5,322.9,15
2017-01-01 04:00:00,9.2,341.7,15.7
2017-01-01 05:00:00,7.6,333.4,15.7
2017-01-01 06:00:00,8.9,339,15.3
2017-01-01 07:00:00,8.8,337.7,14.9
2017-01-01 08:00:00,10.5,324.8,14.2
2017-01-01 09:00:00,8.6,334,14.2
2017-01-01 10:00:00,11.8,322.6,13.7
2017-01-01 11:00:00,9.4,331.2,14.4
2017-01-01 12:00:00,7.6,317.2,17.6
2017-01-01 13:00:00,4.1,261.6,20.2
2017-01-01 14:00:00,6.7,338.7,21.4
2017-01-01 15:00:00,8,335.5,17
2017-01-01 16:00:00,7.4,339.1,16.1
2017-01-01 17:00:00,10.7,332.3,16.5
2017-01-01 18:00:00,8.1,336.4,16.9
2017-01-01 19:00:00,10.3,318,15.8
2017-01-01 20:00:00,9.7,324.6,16.8
2017-01-01 21:00:00,12.6,327.8,16.2
2017-01-01 22:00:00,11.1,330.1,15.7
2017-01-01 23:00:00,7.4,313.7,15.9
2017-01-02 00:00:00,6.8,349.6,15.1
2017-01-02 01:00:00,5.2,21,13.3
2017-01-02 02:00:00,3.6,40.3,12.7
2017-01-02 03:00:00,4,21.7,12.1
2017-01-02 04:00:00,3.6,41.7,12.4
2017-01-02 05:00:00,3.9,21.2,11.9
2017-01-02 06:00:00,5.5,47,12.8
2017-01-02 07:00:00,1.4,336.4,11.8
2017-01-02 08:00:00,4.1,45.9,11.4
2017-01-02 09:00:00,2.8,234.8,12.1
2017-01-02 10:00:00,1.3,149.3,10.5
2017-01-02 11:00:00,2,74.2,10.6
2017-01-02 12:00:00,0.9,8.4,10.3
2017-01-02 13:00:00,6.3,350.3,10.5
2017-01-02 14:00:00,5.1,30.1,12.2
