,Intervalo,Real,Weibull,Bimodal,RealAcum,WeibullAcum,BimodalAcum
0,0-1,0.053763440860215055,0.13388886962671823,0.056178304692077005,0.053763440860215055,0.13388886962671823,0.056178304692077005
1,1-2,0.2163978494623656,0.17480158926173237,0.5176476386194454,0.2701612903225806,0.3086904588884506,0.5738259433115224
2,2-3,0.19623655913978494,0.1757569021795386,0.08260240522994945,0.46639784946236557,0.4844473610679892,0.6564283485414718
3,3-4,0.13709677419354838,0.15356990028260703,0.08480424365493003,0.603494623655914,0.6380172613505962,0.7412325921964018
4,4-5,0.10080645161290322,0.1214728269709151,0.07826214167347276,0.7043010752688172,0.7594900883215113,0.8194947338698746
5,5-6,0.07795698924731183,0.08872180085793378,0.06464080223790457,0.7822580645161291,0.8482118891794451,0.8841355361077792
6,6-7,0.0846774193548387,0.06052992911590762,0.04778401226025855,0.8669354838709679,0.9087418182953527,0.9319195483680377
7,7-8,0.04704301075268817,0.03886629305573493,0.031613993143580425,0.913978494623656,0.9476081113510877,0.9635335415116181
8,8-9,0.04032258064516129,0.023613117597494414,0.018719617154700524,0.9543010752688172,0.9712212289485821,0.9822531586663186
9,9-10,0.0228494623655914,0.013628282147142701,0.009920542828219516,0.9771505376344086,0.9848495110957248,0.9921737014945381
10,10-11,0.01478494623655914,0.00749525273548633,0.0047053808032453005,0.9919354838709677,0.9923447638312112,0.9968790822977834
11,11-12,0.006720430107526882,0.003938010447717534,0.0019974457022305706,0.9986559139784946,0.9962827742789288,0.998876528000014
12,12-13,0.0013440860215053765,0.001980673784423219,0.000758885150258172,1.0,0.998263448063352,0.9996354131502722
13,13-14,0.0,0.0009553332980436445,0.0002580465119826389,1.0,0.9992187813613956,0.9998934596622548
14,14-15,0.0,0.0004425437480567809,7.853094030491509e-05,1.0,0.9996613251094524,0.9999719906025598
15,15-16,0.0,0.00019714533463053536,2.1389688907780626e-05,1.0,0.9998584704440829,0.9999933802914676
16,16-17,0.0,8.455677857190331e-05,5.214215844493137e-06,1.0,0.9999430272226548,0.9999985945073121
17,17-18,0.0,3.4953448627112465e-05,1.1376126374772668e-06,1.0,0.999977980671282,0.9999997321199495
18,18-19,0.0,1.3938441990662312e-05,2.221368846950726e-07,1.0,0.9999919191132727,0.9999999542568342
19,19-20,0.0,5.366438368472704e-06,3.882109777115718e-08,1.0,0.9999972855516411,0.999999993077932
20,20-21,0.0,1.9963599153114125e-06,6.072056631108687e-09,1.0,0.9999992819115564,0.9999999991499886
21,21-22,0.0,7.180884436360966e-07,8.500112638640551e-10,1.0,1.0,0.9999999999999999
