,Time,T2s_1s,W10s_1s,Wds_1s
0,2018-03-01_00:00:00,11.557983,1.8850077,281.1072
1,2018-03-01_01:00:00,11.13501,1.6292721,54.159218
2,2018-03-01_02:00:00,12.176117,0.5601116,312.21466
3,2018-03-01_03:00:00,10.9531555,0.9565132,57.29569
4,2018-03-01_04:00:00,10.624451,0.36166584,13.745016
5,2018-03-01_05:00:00,9.916779,1.637891,291.0241
6,2018-03-01_06:00:00,11.571136,6.1148205,66.176216
7,2018-03-01_07:00:00,9.970215,8.522695,89.78497
8,2018-03-01_08:00:00,10.645142,7.726603,76.15119
9,2018-03-01_09:00:00,10.17038,8.60964,77.64586
10,2018-03-01_10:00:00,10.978699,7.4643927,69.107925
11,2018-03-01_11:00:00,11.53952,8.65507,72.578255
12,2018-03-01_12:00:00,11.855835,9.94408,78.64053
13,2018-03-01_13:00:00,13.458038,9.812434,76.762596
14,2018-03-01_14:00:00,13.81897,10.903106,79.5354
15,2018-03-01_15:00:00,14.356689,11.023439,77.9535
16,2018-03-01_16:00:00,15.779938,10.223667,79.99855
17,2018-03-01_17:00:00,15.373322,10.303197,76.00776
18,2018-03-01_18:00:00,17.361969,8.079074,80.027534
19,2018-03-01_19:00:00,17.835876,7.259769,84.05105
20,2018-03-01_20:00:00,16.615173,8.094408,82.218575
21,2018-03-01_21:00:00,15.486877,8.309604,81.208534
22,2018-03-01_22:00:00,14.67807,6.874857,80.4755
23,2018-03-01_23:00:00,12.877045,6.2190003,73.465355
24,2018-03-02_00:00:00,13.1102295,4.947144,76.4968
25,2018-03-02_01:00:00,12.67511,3.5932887,65.02766
26,2018-03-02_02:00:00,11.757355,2.4755228,74.91386
27,2018-03-02_03:00:00,11.878265,0.88825047,305.6902
28,2018-03-02_04:00:00,11.382233,5.3570833,75.29301
29,2018-03-02_05:00:00,11.1605835,6.692756,82.004036
30,2018-03-02_06:00:00,11.212921,7.529258,72.78584
31,2018-03-02_07:00:00,10.79364,8.581534,77.237785
32,2018-03-02_08:00:00,11.515839,6.252171,64.625656
33,2018-03-02_09:00:00,8.978241,1.3039708,16.362383
34,2018-03-02_10:00:00,9.074432,4.009183,88.21507
35,2018-03-02_11:00:00,11.139587,7.1831822,72.25912
36,2018-03-02_12:00:00,12.632751,8.08566,79.25884
37,2018-03-02_13:00:00,13.456116,7.797916,85.7177
38,2018-03-02_14:00:00,14.366119,6.0748267,81.29942
39,2018-03-02_15:00:00,14.2812805,8.295911,87.367386
40,2018-03-02_16:00:00,14.869568,8.185056,78.11122
41,2018-03-02_17:00:00,14.749817,8.948021,82.687
42,2018-03-02_18:00:00,15.1684265,8.555978,78.93862
43,2018-03-02_19:00:00,15.735016,7.6218476,83.85387
44,2018-03-02_20:00:00,14.751099,7.893286,77.42767
45,2018-03-02_21:00:00,14.6839905,6.877513,69.194046
46,2018-03-02_22:00:00,14.241943,6.454878,74.947174
47,2018-03-02_23:00:00,13.191589,6.0382123,66.62577
48,2018-03-03_00:00:00,13.450928,3.736132,54.519722
49,2018-03-03_01:00:00,13.18692,1.5630132,26.953028
50,2018-03-03_02:00:00,12.341187,0.970134,338.53998
51,2018-03-03_03:00:00,11.522614,1.7399213,284.92865
52,2018-03-03_04:00:00,11.079102,1.2826967,277.12833
53,2018-03-03_05:00:00,11.250122,1.4070323,54.26754
54,2018-03-03_06:00:00,11.259491,1.2944376,49.96755
55,2018-03-03_07:00:00,11.210999,0.97505176,51.8293
56,2018-03-03_08:00:00,11.151764,1.1100237,20.12449
57,2018-03-03_09:00:00,10.8974,1.0814489,25.998762
58,2018-03-03_10:00:00,10.429626,1.171665,78.06456
59,2018-03-03_11:00:00,10.972839,0.3611819,280.48578
60,2018-03-03_12:00:00,11.54184,2.8075354,275.69922
61,2018-03-03_13:00:00,12.782043,4.856218,85.91023
62,2018-03-03_14:00:00,14.69342,6.7574673,84.72797
63,2018-03-03_15:00:00,14.955414,8.499166,80.70982
64,2018-03-03_16:00:00,15.108093,8.9537945,81.452866
65,2018-03-03_17:00:00,14.774109,8.758745,80.58038
66,2018-03-03_18:00:00,14.426727,7.846011,81.872444
67,2018-03-03_19:00:00,14.952087,7.7021613,75.552444
68,2018-03-03_20:00:00,14.764343,7.847709,76.00299
69,2018-03-03_21:00:00,13.711365,8.371961,76.1637
70,2018-03-03_22:00:00,12.90213,8.389818,76.97281
71,2018-03-03_23:00:00,12.813965,8.313434,72.54927
72,2018-03-04_00:00:00,12.377747,7.117373,73.97329
73,2018-03-04_01:00:00,12.181641,6.99204,84.247215
74,2018-03-04_02:00:00,12.112274,5.1467175,83.07153
75,2018-03-04_03:00:00,11.695557,5.0754356,88.350975
76,2018-03-04_04:00:00,11.842865,6.268093,78.14069
77,2018-03-04_05:00:00,12.562714,1.431422,31.46429
78,2018-03-04_06:00:00,12.306641,1.1510353,29.94518
79,2018-03-04_07:00:00,12.574097,1.3855621,13.918941
80,2018-03-04_08:00:00,11.34491,2.1646764,13.1844
81,2018-03-04_09:00:00,10.994507,2.8716576,296.42316
82,2018-03-04_10:00:00,10.49527,1.7787986,83.46541
83,2018-03-04_11:00:00,11.2361145,1.6515228,79.32522
84,2018-03-04_12:00:00,12.075684,5.8990674,83.32392
85,2018-03-04_13:00:00,12.478912,6.464747,81.37722
86,2018-03-04_14:00:00,14.018555,6.9765744,82.38947
87,2018-03-04_15:00:00,13.523285,9.181851,77.59069
88,2018-03-04_16:00:00,12.876465,10.537606,79.635
89,2018-03-04_17:00:00,11.941376,12.4055195,80.56954
90,2018-03-04_18:00:00,14.855133,11.468443,73.224625
91,2018-03-04_19:00:00,16.47049,8.8229265,73.75587
92,2018-03-04_20:00:00,15.823975,2.1482408,285.6741
93,2018-03-04_21:00:00,13.469696,3.0435135,65.47504
94,2018-03-04_22:00:00,13.583771,3.9715433,280.07916
95,2018-03-04_23:00:00,13.193146,4.034739,295.4043
96,2018-03-05_00:00:00,12.878601,5.7409425,318.98526
97,2018-03-05_01:00:00,12.840424,4.859595,320.86304
98,2018-03-05_02:00:00,11.8905945,4.0745554,66.38686
99,2018-03-05_03:00:00,11.840759,3.3092222,32.173256
100,2018-03-05_04:00:00,11.761261,3.6443567,49.670387
101,2018-03-05_05:00:00,11.138702,3.9301379,308.2346
102,2018-03-05_06:00:00,11.92395,3.7866967,24.188986
103,2018-03-05_07:00:00,11.007263,1.5259354,320.7665
104,2018-03-05_08:00:00,10.070831,1.4881438,307.9887
105,2018-03-05_09:00:00,10.204437,4.6526866,88.61037
106,2018-03-05_10:00:00,11.012604,1.5415227,58.69665
107,2018-03-05_11:00:00,10.130035,2.3000746,308.64743
108,2018-03-05_12:00:00,11.584747,2.8218899,280.16486
109,2018-03-05_13:00:00,11.653595,5.3622565,76.24727
110,2018-03-05_14:00:00,11.356659,8.159138,82.25783
111,2018-03-05_15:00:00,11.07486,9.377951,81.72467
112,2018-03-05_16:00:00,11.721954,8.627992,76.899574
