,Time,T2s_3km,W10s_3km,Wds_3km
0,2018-03-01_00:00:00,14.815094,0.5133822,55.423862
1,2018-03-01_01:00:00,13.818665,1.5150245,351.2145
2,2018-03-01_02:00:00,14.4843445,1.3093218,300.6776
3,2018-03-01_03:00:00,14.239441,1.6182841,341.3666
4,2018-03-01_04:00:00,12.648987,1.338996,342.70276
5,2018-03-01_05:00:00,12.123596,1.9386749,307.60303
6,2018-03-01_06:00:00,13.605499,4.9511056,70.87402
7,2018-03-01_07:00:00,12.273621,9.826659,272.07736
8,2018-03-01_08:00:00,13.021088,7.3803844,85.76977
9,2018-03-01_09:00:00,12.580688,8.641842,88.591965
10,2018-03-01_10:00:00,13.617615,9.056039,77.1376
11,2018-03-01_11:00:00,14.021637,9.239721,79.63963
12,2018-03-01_12:00:00,14.563873,10.984002,86.79209
13,2018-03-01_13:00:00,16.132538,10.7629595,84.97654
14,2018-03-01_14:00:00,16.46466,11.6711445,85.00934
15,2018-03-01_15:00:00,17.37732,12.361008,81.726166
16,2018-03-01_16:00:00,18.768616,11.927465,83.497955
17,2018-03-01_17:00:00,18.045288,11.882688,80.572815
18,2018-03-01_18:00:00,20.556824,8.919647,85.37273
19,2018-03-01_19:00:00,21.109802,7.367958,88.24724
20,2018-03-01_20:00:00,20.26596,8.602318,86.734436
21,2018-03-01_21:00:00,18.656128,9.435899,84.28419
22,2018-03-01_22:00:00,17.556885,8.083518,86.27422
23,2018-03-01_23:00:00,15.984894,7.135708,81.44561
24,2018-03-02_00:00:00,15.962616,3.7293825,73.706
25,2018-03-02_01:00:00,15.400177,4.1213684,69.97979
26,2018-03-02_02:00:00,14.297028,1.7477643,57.234077
27,2018-03-02_03:00:00,12.95462,2.9750621,3.7817314
28,2018-03-02_04:00:00,13.360504,2.689093,281.43445
29,2018-03-02_05:00:00,12.689728,2.0830657,296.40695
30,2018-03-02_06:00:00,12.64505,3.0106957,74.10095
31,2018-03-02_07:00:00,12.133484,3.3861504,79.27703
32,2018-03-02_08:00:00,11.967346,0.9351586,0.09259883
33,2018-03-02_09:00:00,11.346497,2.1748667,58.554768
34,2018-03-02_10:00:00,10.968597,1.6064098,303.88214
35,2018-03-02_11:00:00,13.423004,7.5218287,81.60517
36,2018-03-02_12:00:00,15.876129,7.3287854,83.18204
37,2018-03-02_13:00:00,16.38855,5.269334,86.754944
38,2018-03-02_14:00:00,16.87613,2.7797132,275.10434
39,2018-03-02_15:00:00,17.42041,7.7290063,271.60925
40,2018-03-02_16:00:00,17.80658,7.534346,78.30567
41,2018-03-02_17:00:00,18.143219,8.910408,83.60157
42,2018-03-02_18:00:00,17.865204,8.662304,82.01084
43,2018-03-02_19:00:00,19.004364,8.037632,270.4933
44,2018-03-02_20:00:00,17.948029,8.599715,82.30469
45,2018-03-02_21:00:00,17.836792,7.265338,75.04443
46,2018-03-02_22:00:00,17.351227,6.4965844,80.76358
47,2018-03-02_23:00:00,15.970154,4.6683407,66.37291
48,2018-03-03_00:00:00,16.08612,3.0460212,51.664127
49,2018-03-03_01:00:00,15.810455,1.4588549,348.50925
50,2018-03-03_02:00:00,14.963593,2.0839958,303.90924
51,2018-03-03_03:00:00,13.744141,1.3324441,283.5572
52,2018-03-03_04:00:00,13.210266,1.1776359,17.83954
53,2018-03-03_05:00:00,12.541626,1.5086162,21.5757
54,2018-03-03_06:00:00,12.626373,0.84847695,32.84022
55,2018-03-03_07:00:00,12.5546875,1.1792684,34.973026
56,2018-03-03_08:00:00,12.351959,1.3678769,21.671715
57,2018-03-03_09:00:00,12.229858,1.5301044,21.72336
58,2018-03-03_10:00:00,11.987152,1.3808821,44.708763
59,2018-03-03_11:00:00,11.890289,1.289255,56.14215
60,2018-03-03_12:00:00,13.480194,1.6118925,339.79886
61,2018-03-03_13:00:00,15.152557,3.0835943,300.0351
62,2018-03-03_14:00:00,17.358887,5.8864594,276.5736
63,2018-03-03_15:00:00,18.066925,8.64897,85.17979
64,2018-03-03_16:00:00,18.291107,9.407536,88.0958
65,2018-03-03_17:00:00,18.126038,9.725537,86.54958
66,2018-03-03_18:00:00,17.603363,8.652968,270.44635
67,2018-03-03_19:00:00,18.484985,7.8442955,84.84282
68,2018-03-03_20:00:00,18.383667,8.446216,84.224205
69,2018-03-03_21:00:00,16.97519,9.935279,81.6071
70,2018-03-03_22:00:00,15.641388,9.867232,80.94432
71,2018-03-03_23:00:00,15.343506,9.328494,78.22114
72,2018-03-04_00:00:00,15.086761,9.13795,77.845474
73,2018-03-04_01:00:00,14.445923,8.561222,85.51317
74,2018-03-04_02:00:00,14.27475,6.548758,85.1063
75,2018-03-04_03:00:00,13.844391,6.5003624,89.82166
76,2018-03-04_04:00:00,13.598816,2.5999875,276.00665
77,2018-03-04_05:00:00,13.870026,2.3554606,299.4081
78,2018-03-04_06:00:00,12.921448,1.1651422,47.513508
79,2018-03-04_07:00:00,13.467987,2.0753658,291.4171
80,2018-03-04_08:00:00,12.619385,2.703229,18.104969
81,2018-03-04_09:00:00,12.610016,2.3318334,295.86615
82,2018-03-04_10:00:00,12.1875305,0.9088545,357.3052
83,2018-03-04_11:00:00,12.011566,0.43352795,281.5248
84,2018-03-04_12:00:00,14.406403,3.423507,288.4618
85,2018-03-04_13:00:00,14.644623,4.426167,273.0597
86,2018-03-04_14:00:00,16.75238,5.325334,86.79724
87,2018-03-04_15:00:00,16.184662,9.159085,81.35314
88,2018-03-04_16:00:00,15.772644,11.460973,83.88163
89,2018-03-04_17:00:00,14.129364,13.766917,83.5735
90,2018-03-04_18:00:00,17.693787,12.926496,79.079765
91,2018-03-04_19:00:00,19.475952,9.766038,82.715416
92,2018-03-04_20:00:00,16.699219,3.1229024,42.455482
93,2018-03-04_21:00:00,15.896637,3.4812837,72.70952
94,2018-03-04_22:00:00,15.95694,3.6475737,277.38626
95,2018-03-04_23:00:00,15.254761,3.4508457,310.10547
96,2018-03-05_00:00:00,14.706818,5.3534946,330.29315
97,2018-03-05_01:00:00,14.482513,3.9677484,336.0026
98,2018-03-05_02:00:00,13.155304,3.240563,47.005627
99,2018-03-05_03:00:00,13.00238,4.083756,33.55343
100,2018-03-05_04:00:00,12.9470215,3.2050467,46.684864
101,2018-03-05_05:00:00,12.589203,2.4447823,330.84692
102,2018-03-05_06:00:00,13.022491,1.9836885,33.98025
103,2018-03-05_07:00:00,11.67688,3.0804372,6.836778
104,2018-03-05_08:00:00,11.442474,1.2158802,1.6439875
105,2018-03-05_09:00:00,11.977417,3.8191495,279.11185
106,2018-03-05_10:00:00,12.490845,1.1546525,271.0133
107,2018-03-05_11:00:00,11.469086,2.920152,330.98654
108,2018-03-05_12:00:00,11.54129,1.7668337,359.9282
109,2018-03-05_13:00:00,12.693909,1.3417323,352.16385
110,2018-03-05_14:00:00,13.534637,4.316894,87.69587
111,2018-03-05_15:00:00,13.418762,8.874674,85.827354
112,2018-03-05_16:00:00,14.226105,9.204198,85.13611
113,2018-03-05_17:00:00,16.489136,6.2170496,79.433655
114,2018-03-05_18:00:00,15.769653,3.4906912,49.659904
115,2018-03-05_19:00:00,15.94046,3.5616784,291.78473
116,2018-03-05_20:00:00,16.139893,2.8380725,29.35726
117,2018-03-05_21:00:00,15.554413,1.9995944,58.687775
118,2018-03-05_22:00:00,15.0589905,5.917688,329.77792
119,2018-03-05_23:00:00,14.7482605,4.3386445,340.57742
120,2018-03-06_00:00:00,14.232361,2.7253945,43.655807
121,2018-03-06_01:00:00,11.846252,2.8207111,353.73013
122,2018-03-06_02:00:00,11.654755,1.4923619,3.107648
123,2018-03-06_03:00:00,11.582153,1.6161214,20.07095
124,2018-03-06_04:00:00,11.775757,0.49019954,40.906067
125,2018-03-06_05:00:00,11.57901,2.2321131,36.45694
126,2018-03-06_06:00:00,11.4436035,3.5024662,37.27633
127,2018-03-06_07:00:00,11.1657715,3.2611196,5.300446
128,2018-03-06_08:00:00,11.655121,8.460883,89.33867
129,2018-03-06_09:00:00,11.786865,2.862927,80.34229
130,2018-03-06_10:00:00,9.836517,3.2151995,49.574223
131,2018-03-06_11:00:00,10.116913,0.29470116,295.48148
132,2018-03-06_12:00:00,10.426514,2.77615,72.92774
133,2018-03-06_13:00:00,10.882935,2.4173436,67.190445
134,2018-03-06_14:00:00,12.200378,2.6302412,314.2332
135,2018-03-06_15:00:00,12.05484,0.7070075,82.762276
136,2018-03-06_16:00:00,13.80954,2.620998,320.25085
137,2018-03-06_17:00:00,14.791016,6.202219,277.9872
138,2018-03-06_18:00:00,15.612427,4.910409,272.00372
139,2018-03-06_19:00:00,14.039307,8.480144,88.7402
