,Time,T2s_1s,W10s_1s,Wds_1s
0,2018-03-01_00:00:00,11.557983,1.8850077,281.3389
1,2018-03-01_01:00:00,11.13501,1.6292722,54.390907
2,2018-03-01_02:00:00,12.176117,0.5601116,312.44635
3,2018-03-01_03:00:00,10.9531555,0.9565132,57.527386
4,2018-03-01_04:00:00,10.624451,0.36166587,13.9767065
5,2018-03-01_05:00:00,9.916779,1.637891,291.2558
6,2018-03-01_06:00:00,11.571136,6.1148205,66.407906
7,2018-03-01_07:00:00,9.970215,8.522695,270.01666
8,2018-03-01_08:00:00,10.645142,7.726603,76.38288
9,2018-03-01_09:00:00,10.17038,8.60964,77.877556
10,2018-03-01_10:00:00,10.978699,7.464393,69.33961
11,2018-03-01_11:00:00,11.53952,8.65507,72.80995
12,2018-03-01_12:00:00,11.855835,9.944081,78.87222
13,2018-03-01_13:00:00,13.458038,9.812433,76.99429
14,2018-03-01_14:00:00,13.81897,10.903106,79.76709
15,2018-03-01_15:00:00,14.356689,11.023439,78.185196
16,2018-03-01_16:00:00,15.779938,10.223667,80.23023
17,2018-03-01_17:00:00,15.373322,10.303197,76.23945
18,2018-03-01_18:00:00,17.361969,8.079074,80.259224
19,2018-03-01_19:00:00,17.835876,7.259769,84.28274
20,2018-03-01_20:00:00,16.615173,8.094407,82.45027
21,2018-03-01_21:00:00,15.486877,8.309604,81.44022
22,2018-03-01_22:00:00,14.67807,6.874857,80.70719
23,2018-03-01_23:00:00,12.877045,6.2190003,73.697044
24,2018-03-02_00:00:00,13.1102295,4.947144,76.7285
25,2018-03-02_01:00:00,12.67511,3.5932884,65.259346
26,2018-03-02_02:00:00,11.757355,2.4755228,75.145546
27,2018-03-02_03:00:00,11.878265,0.88825047,305.92188
28,2018-03-02_04:00:00,11.382233,5.357084,75.52469
29,2018-03-02_05:00:00,11.1605835,6.692756,82.23574
30,2018-03-02_06:00:00,11.212921,7.529258,73.01753
31,2018-03-02_07:00:00,10.79364,8.581534,77.469475
32,2018-03-02_08:00:00,11.515839,6.252171,64.85735
33,2018-03-02_09:00:00,8.978241,1.3039708,16.59407
34,2018-03-02_10:00:00,9.074432,4.009183,88.44676
35,2018-03-02_11:00:00,11.139587,7.1831827,72.49081
36,2018-03-02_12:00:00,12.632751,8.08566,79.490524
37,2018-03-02_13:00:00,13.456116,7.797916,85.94939
38,2018-03-02_14:00:00,14.366119,6.0748267,81.53111
39,2018-03-02_15:00:00,14.2812805,8.295911,87.599075
40,2018-03-02_16:00:00,14.869568,8.185055,78.34291
41,2018-03-02_17:00:00,14.749817,8.948021,82.91867
42,2018-03-02_18:00:00,15.1684265,8.555978,79.17032
43,2018-03-02_19:00:00,15.735016,7.6218476,84.08555
44,2018-03-02_20:00:00,14.751099,7.8932858,77.659355
45,2018-03-02_21:00:00,14.6839905,6.877513,69.42574
46,2018-03-02_22:00:00,14.241943,6.4548774,75.178856
47,2018-03-02_23:00:00,13.191589,6.0382123,66.85745
48,2018-03-03_00:00:00,13.450928,3.7361321,54.75141
49,2018-03-03_01:00:00,13.18692,1.5630132,27.184717
50,2018-03-03_02:00:00,12.341187,0.970134,338.77164
51,2018-03-03_03:00:00,11.522614,1.7399213,285.16034
52,2018-03-03_04:00:00,11.079102,1.2826967,277.36002
53,2018-03-03_05:00:00,11.250122,1.4070323,54.49923
54,2018-03-03_06:00:00,11.259491,1.2944376,50.199238
55,2018-03-03_07:00:00,11.210999,0.97505176,52.06099
56,2018-03-03_08:00:00,11.151764,1.1100237,20.356178
57,2018-03-03_09:00:00,10.8974,1.081449,26.230452
58,2018-03-03_10:00:00,10.429626,1.171665,78.29626
59,2018-03-03_11:00:00,10.972839,0.36118194,280.71747
60,2018-03-03_12:00:00,11.54184,2.8075352,275.9309
61,2018-03-03_13:00:00,12.782043,4.856218,86.14192
62,2018-03-03_14:00:00,14.69342,6.7574673,84.959656
63,2018-03-03_15:00:00,14.955414,8.4991665,80.94151
64,2018-03-03_16:00:00,15.108093,8.9537945,81.684555
65,2018-03-03_17:00:00,14.774109,8.758745,80.81207
66,2018-03-03_18:00:00,14.426727,7.8460116,82.10413
67,2018-03-03_19:00:00,14.952087,7.7021613,75.78413
68,2018-03-03_20:00:00,14.764343,7.8477097,76.23468
